1 | ('Nama', {'"nama" p2 sg': True})
2 | ('ca', {'"ca" top': True, '"ca" agr o2 sg': False, '"ca" agr o2 sg neg': False, ';\t"ca" agr o2 sg': True, ';\t"ca" agr o2 
sg neg': True})
3 | ('kama', {'"kama" p1 sg': True})
4 | ('laa', {'"laa" comp': True})
5 | ('na', {'"na" foc': False, '"na" agr p2 sg': True, '"na" agr o1 sg neg': False, ';\t"na" foc': True, ';\t"na" agr o1 sg 
neg': True})
6 | ('haatiy', {'"haatiy" adj': True})
7 | ('vie', {'"vie" adv': False, '"vie" comp': True, '"vie" dei ven': False, ';\t"vie" adv': True, ';\t"vie" dei ven': True})
8 | ('.', {'"." sent': True})
9 | ('Ma', {'"ma" qp': False, '"ma" det def': True, ';\t"ma" qp': True})
10 | ('caauv', {'"caauv" n': True})
11 | ('a', {'"a" p3 sg': False, '"a" agr p3 sg': True, ';\t"a" p3 sg': True})
12 | ('calyi', {'"calyi" v': True})
13 | ('tuv', {'"tuv" nmlz': False, '"tuv" adv': True, ';\t"tuv" nmlz': True})
14 | ('hing', {'"hing" dem': True, '"hing" det dem': False, ';\t"hing" det dem': True})
15 | ('kama', {'"kama" p1 sg': True})
16 | ('na', {'"na" foc': True, '"na" agr p2 sg': False, '"na" agr o1 sg neg': False, ';\t"na" agr p2 sg': True, ';\t"na" agr o1 
sg neg': True})
17 | ('i', {'"i" agr p1 sg': True})
18 | ('cuo', {'"cuo" v': True, '"cuo" n': False, ';\t"cuo" n': True})
19 | ('.', {'"." sent': True})
20 | ('i', {'"i" agr p1 sg': True})
21 | ('nung', {'"nung" n': True})
22 | ('ca', {'"ca" top': True, '"ca" agr o2 sg': False, '"ca" agr o2 sg neg': False, ';\t"ca" agr o2 sg': True, ';\t"ca" agr o2 
sg neg': True})
23 | ('sabuti', {'"sabuti" n': True})
24 | ('na', {'"na" foc': True, '"na" agr p2 sg': False, '"na" agr o1 sg neg': False, ';\t"na" agr p2 sg': True, ';\t"na" agr o1 
sg neg': True})
25 | ('a', {'"a" p3 sg': False, '"a" agr p3 sg': True, ';\t"a" p3 sg': True})
26 | ('chang', {'"chang" v': True})
27 | ('.', {'"." sent': True})
28 | ('piu', {'"piu" n': True})
29 | ('lie', {'"lie" v': False, '"lie" loc post': True, ';\t"lie" v': True})
30 | ('na', {'"na" foc': True, '"na" agr p2 sg': False, '"na" agr o1 sg neg': False, ';\t"na" agr p2 sg': True, ';\t"na" agr o1 
sg neg': True})
31 | ('haatiytie', {'"haatiytie" n': True})
32 | ('ama', {'"ama" p3 pl': False, '"ama" agr p3 pl': True, ';\t"ama" p3 pl': True})
33 | ('aw', {'"aw" v': True, '"aw" aff': False, ';\t"aw" aff': True})
34 | ('.', {'"." sent': True})
35 | ('Bawi', {'"Bawi" np': True})
36 | ('hne', {'"hne" cnjcoo': True})
37 | ('Zai', {'"Zai" np': True})
38 | ('ta', {'"ta" v': False, '"ta" inst': False, '"ta" agt': True, ';\t"ta" v': True, ';\t"ta" inst': True})
39 | ('bi', {'"bi" n': True})
40 | ('malie', {'"malie" agr o1 pl': True, '"malie" agr o1 pl neg': False, ';\t"malie" agr o1 pl neg': True})
41 | ('ama', {'"ama" p3 pl': False, '"ama" agr p3 pl': True, ';\t"ama" p3 pl': True})
42 | ('chang', {'"chang" v': True})
43 | ('pa', {'"pa" cl': False, '"pa" nmlz': False, '"pa" ben': True, ';\t"pa" nmlz': True})
44 | ('.', {'"." sent': True})
45 | ('Sui', {'"Sui" np': True})
46 | ('ta', {'"ta" v': False, '"ta" inst': False, '"ta" agt': True, ';\t"ta" v': True, ';\t"ta" inst': True})
47 | ('Bawi', {'"Bawi" np': True})
